question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Given the Battle of Singapore and the Fernando Collor's Impeachment; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
2,TF,Given the Boris Yeltsin Elected as First President of Russia and the The Big Freeze of 1963; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
3,TF,Given the Formation of the Saudi Arabian National Guard and the Abolition of Slavery Enforced; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
4,TF,Given the Separation and Independence and the Zika Virus Outbreak; it is possible for someone to have lived during both of them.,a,True,False,b,False,0
5,TF,Given the Reza Shah's Modernization Efforts and the 1978 FIFA World Cup Victory; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
6,TF,Given the North Korea's First Nuclear Test and the Egyptian Revolution of 1952; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
7,TF,Given the Pulwama Terrorist Attack and the MV Doña Paz Collision; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
8,TF,Given the East Pakistan demands autonomy and the Affordable Care Act (Obamacare) Implementation; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
9,TF,Given the Homosexual Law Reform Act and the Norwegian Independence; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
10,TF,Given the Whitlam Government's Dismissal and the Union of Castile and Aragon; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
11,TF,Given the 1967 Referendum on Indigenous Australians and the Expulsion of the Jews; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
12,TF,Given the Royal Commission into Institutional Responses... and the Spanish Constitution of 1978; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
13,TF,Given the Māori Seats Established in Parliament and the Christianization of Denmark; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
14,TF,Given the Panama Papers Case & Disqualification of PM Nawaz Sharif and the Housing Market Crash and Great Recession; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
15,TF,Given the Right to Information Act Enacted and the 2004 Tsunami Impact; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
16,TF,Given the Constitutional Revolution and the Arrival of the Spanish and the Fall of Tenochtitlán; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
17,TF,Given the Merger with Malaysia and the Dilma Rousseff's Impeachment; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
18,TF,Given the The Grand Canal Construction and the Statute of Westminster; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
19,TF,Given the Establishment of the People's Republic of China and the Battle of Trafalgar; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
20,TF,Given the Pakistan Joins the United Nations and the Paris Agreement Rejoining; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
21,TF,Given the Lê Dynasty Restoration and the Independence from France; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
22,TF,Given the Malala Yousafzai's Nobel Peace Prize and the Transcontinental Railroad Completed; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
23,TF,Given the Resource Management Act Enacted and the Second Schleswig War; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
24,TF,Given the Women's Franchise Act Passed and the Battle of Vimy Ridge; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
25,TF,Given the Return of Macau and the Signing of the Magna Carta; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
26,TF,Given the May Fourth Movement and the Official Languages Act; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
27,TF,Given the Waitangi Tribunal Established and the Signing of the Treaty of Fredrikshamn; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
28,TF,Given the Sook Ching Massacre and the Plano Real Economic Stabilization; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
29,TF,Given the Establishment of the Kingdom of Saudi Arabia and the Coup d'état Leads to Mugabe's Resignation; it is possible for someone to have lived during both of them.,b,False,True,a,True,0
30,TF,Given the Kandahar Hijacking (IC 814) and the 1MDB Scandal; it is possible for someone to have lived during both of them.,a,True,True,a,True,1
31,TF,Given the Battle of Red Cliffs and the Balfour Declaration of 1926; it is possible for someone to have lived during both of them.,b,False,False,b,False,1
