question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"If the discovery of the electron by J.J. Thomson in 1897 had never happened, the later discovery of the proton would still have been possible using cathode ray tubes.",a,True,False,b,False,0
2,unknown,MCQ,"If Mendel's laws of inheritance (1860s) had never been published, how would it have impacted the discovery of DNA structure by Watson and Crick (1953)?",a,DNA would have been dismissed as irrelevant due to lack of a functional unit (gene) context.,C,c,"The discovery would have been unaffected, as DNA structure is a chemical problem.",0
3,unknown,TF,"If Galileo's telescopic observations (1609) confirming Copernicus never occurred, Newton's formulation of universal gravitation (1687) would have lacked key empirical evidence for orbital mechanics.",b,False,True,a,True,0
4,unknown,MCQ,"If the discovery of penicillin by Alexander Fleming (1928) had never happened, how would it have impacted the development of synthetic antibiotics (1940s-1950s)?",c,"The discovery would have been irrelevant, as synthetic drugs are chemically distinct.",B,b,"The concept of antimicrobial action would be delayed, slowing down all subsequent drug discovery.",0
5,unknown,TF,"If Faraday's discovery of electromagnetic induction (1831) had never happened, Maxwell's equations of electromagnetism (1860s) could still have been completed based solely on existing electrical data.",b,False,False,b,False,1
6,unknown,MCQ,"If the discovery of cosmic background radiation (CMB) by Penzias and Wilson (1964) had never happened, how would it impact the acceptance of the Big Bang theory?",d,"CMB only confirms galaxy formation, not the origin of the universe.",B,b,"CMB is a fundamental piece of evidence, so the Big Bang model would remain an unproven hypothesis.",0
7,unknown,TF,"If Pasteur's germ theory of disease (1860s) had never been accepted, Koch's postulates (1880s) for linking specific microbes to diseases would still be widely applicable in medicine.",b,False,False,b,False,1
8,unknown,MCQ,"If the discovery of the first exoplanet (1992, 1995) had never occurred, how would it impact the search for extraterrestrial life (SETI)?",b,"SETI would continue unaffected, as it relies on radio waves, not direct observation.",C,c,"The search would lack tangible targets and justification, severely limiting research.",0
9,unknown,TF,"If Hooke's coining of the term 'cell' and early microscope work (1665) never happened, Schleiden and Schwann's development of cell theory (1830s) would have happened without delay.",b,False,False,b,False,1
10,unknown,MCQ,"If the discovery of the structure of benzene by Kekulé (1865) had never happened, how would it impact the development of modern organic chemistry?",d,Kekulé's work was largely theoretical and had little practical impact.,B,b,The understanding of aromaticity and large ring structures would be drastically impaired.,0
11,unknown,TF,"If Vesalius's detailed anatomical drawings (1543) had never been published, later discoveries in human physiology (e.g., Harvey's circulation) would still have been equally accurate.",a,True,False,b,False,0
12,unknown,MCQ,"If Hubble's discovery of the expanding universe (1929) had never happened, how would it impact the development of the theory of cosmic inflation (1980s)?",a,"Inflation would be accepted earlier, as there would be less contradictory data.",B,b,"The concept of an early, rapid expansion would lack context and evidence, delaying its conception.",0
13,unknown,TF,"If Dalton's atomic theory (1803) proving matter is composed of indivisible atoms had never been established, the discovery of isotopes (early 1900s) would still have occurred easily.",b,False,False,b,False,1
14,unknown,MCQ,"If the discovery of continental drift by Wegener (1912) had never happened, how would it impact the discovery of plate tectonics (1960s)?",c,The concept of mantle convection would be universally rejected.,B,b,"The lack of an initial, overarching hypothesis would severely delay the synthesis of geological data.",0
15,unknown,TF,"If Planck's discovery of energy quantization (1900) never happened, Einstein's theory of general relativity (1915) would still revolutionize physics equally.",a,True,True,a,True,1
