question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,Early contact between the Hittites and the Mycenaeans influenced the exchange of chariot-warfare techniques.,a,True,True,a,True,1
2,unknown,MCQ,Which interaction introduced Lapita pottery motifs into remote Pacific island societies?,b,Inter-island voyaging,B,b,Inter-island voyaging,1
3,unknown,TF,Phoenician settlers in North Africa exchanged agricultural knowledge with early Berber communities.,a,True,True,a,True,1
4,unknown,MCQ,Which interaction carried tin from Central Europe into Bronze Age Anatolia?,b,Overland trade corridors,B,b,Overland trade corridors,1
5,unknown,TF,The Nok culture’s early ironworking may have diffused through contact with migrating West African groups.,a,True,True,a,True,1
6,unknown,MCQ,Which interaction helped spread domesticated camel use into Arabia?,c,North African trade routes,B,b,Central Asian migrations,0
7,unknown,TF,The Olmec influence on early Zapotec ceremonial architecture arose partly from regional trade contact.,a,True,True,a,True,1
8,unknown,MCQ,Which interaction allowed amber from the Baltic to reach Mediterranean artisans?,b,The Amber Road trade network,B,b,The Amber Road trade network,1
9,unknown,TF,Indus Valley traders may have influenced Mesopotamian weight and measure systems through maritime exchanges.,a,True,True,a,True,1
10,unknown,MCQ,Which interaction introduced early bronze metallurgy into the Korean Peninsula?,b,Steppe nomad migrations,B,b,Steppe nomad migrations,1
11,unknown,TF,"Early Minoan–Egyptian contact may have shared artistic ideas, but the evidence is fragmentary enough that either influence or parallel development could explain similarities. Should this be treated as a definitive cultural exchange?",b,False,False,b,False,1
12,unknown,MCQ,Multiple routes could plausibly explain how cinnamon-like spices moved toward East Africa; which route is the least explicitly documented yet still historically possible?,c,Pilgrim movements transferring botanical knowledge gradually,C.,c,Pilgrim movements transferring botanical knowledge gradually,1
13,unknown,TF,"Slavic–Byzantine interactions influenced religion and architecture, but local adaptations blur direct borrowing. Should the influence be labeled straightforward?",b,False,False,b,False,1
14,unknown,MCQ,Citrus arrival in Persia may reflect multiple overlapping networks; which explanation is the most indirect yet still possible?,d,Trans-Saharan caravans accidentally transporting citrus cuttings,D,d,Trans-Saharan caravans accidentally transporting citrus cuttings,1
15,unknown,TF,"The oud’s spread through Andalusi culture is often noted, but regional adaptation complicates directionality. Should this be taken as linear transmission?",b,False,False,b,False,1
16,unknown,MCQ,Hellenistic astronomy reached the Kushan realm through many possible intermediaries; which path is least documented yet still plausible?,c,Arabian naval warfare indirectly circulating astronomical tools,C.,c,Arabian naval warfare indirectly circulating astronomical tools,1
17,unknown,TF,"Polynesian voyagers spread canoe designs, but independent innovation also occurred. Should the similarity be viewed purely as diffusion?",b,False,False,b,False,1
18,unknown,MCQ,Jade movement from China to Southeast Asia can be explained through multiple channels; which is the least linear yet still reasonable?,a,Nomads redistributing jade through seasonal raids,B,b,River–land trade systems evolving in disconnected stages,0
19,unknown,TF,"Sarmatian tactics shaped Roman cavalry practice, but mutual adaptation complicates direction. Should influence be considered one-way?",b,False,False,b,False,1
20,unknown,MCQ,Pastoralism in Tibet may reflect complex intercultural exchanges; which explanation is the most indirect yet plausible?,c,Byzantine missionaries translating agricultural practices,A.,a,Steppe migrations transmitting pastoral ideas in waves,0
21,unknown,TF,Aegean–Anatolian metallurgy similarities could come from parallel evolution or contact. Should it be treated as definitive influence?,b,False,False,b,False,1
22,unknown,MCQ,Neolithic wheat entered Europe through several overlapping processes; which explanation is least linear yet plausible?,c,Central Asian convoys mixing seed stock unintentionally,C.,c,Central Asian convoys mixing seed stock unintentionally,1
23,unknown,TF,"Phoenician symbols in the western Mediterranean may stem from trade, imitation, or parallel symbolism. Should it be viewed as deliberate transmission?",b,False,False,b,False,1
24,unknown,MCQ,Sheep movement into the Caucasus could reflect many overlapping migration streams; which explanation is the least documented but feasible?,a,Arab spice caravans altering pastoral patterns,B.,b,North Sea sailors conducting episodic exchanges,0
25,unknown,TF,Greek–Scythian metalwork similarities may stem from reverse influence or local innovation. Should they be treated as direct borrowing?,b,False,False,b,False,1
26,unknown,MCQ,Anatolian obsidian reached the Balkans through numerous mechanisms; which explanation is most indirect yet still valid?,a,Indian Ocean traders transporting obsidian unintentionally,A.,a,Indian Ocean traders transporting obsidian unintentionally,1
27,unknown,TF,The Brahmi script in Sri Lanka reflects complex cultural blending rather than straightforward diffusion. Should it be treated as direct import?,b,False,False,b,False,1
28,unknown,MCQ,Austroasiatic languages spread through many interactions; which is the most contradictory yet still possible?,c,Arab maritime systems indirectly reshaping inland languages,B.,b,Overland tribal migrations in unpredictable patterns,0
29,unknown,TF,Phoenician–Celtic metalwork overlaps may reflect incidental convergence rather than contact. Should influence be assumed?,b,False,False,b,False,1
30,unknown,MCQ,Chinese millet reached Korea by several routes; which is the least documented yet plausible?,b,Arab voyages producing accidental crop transfers,B.,b,Arab voyages producing accidental crop transfers,1
31,unknown,TF,"Arab–East African connections shaped architecture, though mutual adaptation blurs causality. Should the influence be treated as unidirectional?",b,False,False,b,False,1
32,unknown,MCQ,"Horses entered China mainly via steppe routes, but other paths could have contributed. Which is the least attested but possible?",a,Southeast Asian maritime routes transporting small horse populations,D,d,African cattle migrations carrying incidental equine stock,0
33,unknown,TF,Arawak agricultural spread could reflect independent agricultural convergence. Should it be treated as direct diffusion?,b,False,False,b,False,1
34,unknown,MCQ,Turquoise reached Persia through many zones; which path is the least linear yet plausible?,d,African migration shaping material distribution subtly,B,b,Overland Silk Road fragments shifting goods through nodes,0
35,unknown,TF,Nubian–Sudanese pottery overlap may reflect parallel evolution. Should contact be assumed as primary cause?,b,False,False,b,False,1
36,unknown,MCQ,Bananas reached Madagascar through overlapping routes; which is the least attested yet plausible?,b,Persian land expeditions influencing maritime supply chains,A.,a,Roman fleets drifting westward unintentionally,0
37,unknown,TF,Semitic script diffusion is complex and multi-directional. Should the Levant be viewed as a single diffusion center?,b,False,False,b,False,1
38,unknown,MCQ,Andean metal alloys spread by various interactions; which explanation is least linear yet feasible?,a,Maritime colonization from unrelated Pacific groups,B.,b,Mountain trade occurring irregularly across generations,0
39,unknown,TF,Guanche–North African navigation overlap may stem from parallel development. Should contact be assumed definitively?,b,False,False,b,False,1
