question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"If Heraclitus' doctrine of constant flux had been accepted as the dominant metaphysical framework during the development of quantum mechanics, would Planck and Heisenberg still discover probabilistic wave functions?",a,True,False,b,False,0
2,unknown,MCQ,"If Heraclitian flux metaphysics had influenced quantum physics, which interpretive trajectory is most realistic?",d,Wave-particle duality would cease to exist as a conceptual problem,A,a,"Quantum indeterminacy might be interpreted as continuous becoming rather than ontological probability, leading to process-oriented rather than statistical formulations of mechanics",0
3,unknown,TF,"If Platonic theory of transcendent Forms dominated epistemology when neural networks were developed, would deep learning still learn statistical patterns from training data?",a,True,True,a,True,1
4,unknown,MCQ,"If Platonic idealism guided AI development, which design philosophy would emerge?",a,"AI systems might attempt to identify eternal abstract patterns beyond sensory data, while statistical learning still emerges through different architectural assumptions",A,a,"AI systems might attempt to identify eternal abstract patterns beyond sensory data, while statistical learning still emerges through different architectural assumptions",1
5,unknown,TF,"If Spinozist monistic substance metaphysics had dominated when neuroscientific measurement began, would researchers still discover correlations between mental states and brain activity?",b,False,True,a,True,0
6,unknown,MCQ,"If Spinozist monism influenced neuroscience methodology, which conceptual framework emerges?",d,Dualism would be scientifically proven correct,A,a,"Researchers would interpret mental-neural correlations as aspects of unified substance rather than causal interaction, producing identical empirical data with different philosophical interpretation",0
7,unknown,TF,"If Hegelian absolute idealism had been the dominant framework when postmodern semiotics emerged, would Derrida still develop deconstruction?",b,False,False,b,False,1
8,unknown,MCQ,"If Hegelian dialectical totality dominated semiotics, which theoretical position emerges?",b,All linguistic meaning would become perfectly transparent and reducible to concepts,A,a,"Deconstruction might emphasize dialectical difference within totality rather than undecidability outside systems, preserving critique while reframing its philosophical grounding",0
9,unknown,TF,"If Hegelian systematic rationality had captured existential psychology instead of Kierkegaardian subjectivity, would therapists still emphasize authentic individual choice?",b,False,False,b,False,1
10,unknown,MCQ,"If Hegelian rationality dominated existential therapy, which therapeutic model emerges?",d,Anxiety would cease to be philosophically relevant in psychology,A,a,"Treatment might emphasize rational integration of contradictions while individuals still exercise choice, creating synthesis rather than radical freedom emphasis",0
11,unknown,TF,"If Kantian categorical imperative ethics had dominated moral philosophy instead of Nietzschean perspectivism, would postmodern ethics still question universal principles?",b,False,True,a,True,0
12,unknown,MCQ,"If Kantian universalism remained hegemonic in ethics, which critical position emerges?",c,Universal moral principles would become scientifically provable facts,A,a,"Postmodern ethicists might critique Kantian universalism from within rational discourse, producing sophisticated meta-ethical arguments rather than radical rejection of principles",0
13,unknown,TF,"If Fregean logical foundations had dominated analytical philosophy instead of Wittgensteinian language games, would contemporary linguists still examine contextual meaning?",b,False,True,a,True,0
14,unknown,MCQ,"If logical atomism remained the ideal for linguistic analysis, which theoretical framework emerges?",a,"Linguists might seek atomic propositions as ideal end-goal while studying contextual variation, creating formal grammar theory rather than pragmatic linguistics",A,a,"Linguists might seek atomic propositions as ideal end-goal while studying contextual variation, creating formal grammar theory rather than pragmatic linguistics",1
15,unknown,TF,"If logical positivism's verification criterion had remained hegemonic instead of Heideggerian ontology, would phenomenologists still study structures of experience?",a,True,False,b,False,0
