question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,leaders_agreement,MCQ,Did Neville Chamberlain sign an agreement with Adolf Hitler in Munich in 2018?,a,Yes,B,b,No,0
2,leaders_agreement,MCQ,Did Donald Trump sign an agreement with Kim Jong-un in Singapore in 1993?,a,Yes,B,b,No,0
3,leaders_agreement,MCQ,Did Richard Nixon sign an agreement with Leonid Brezhnev in Moscow in 1972?,b,No,A,a,Yes,0
4,leaders_agreement,MCQ,In which city did Ronald Reagan sign an agreement with Mikhail Gorbachev in 1987?,a,Munich,B,b,Washington,0
5,leaders_agreement,MCQ,In which year did Kim Jong-un sign an agreement with Moon Jae-in in Panmunjom?,a,1972,B,b,2018,0
6,leaders_agreement,MCQ,In which city did Anwar Sadat sign an agreement with Menachem Begin in 1978?,a,Maastricht,B,b,Camp David,0
7,leaders_agreement,MCQ,Did Neville Chamberlain sign an agreement with Adolf Hitler in Munich in 1938?,b,No,A,a,Yes,0
8,leaders_agreement,MCQ,Did Kim Jong-un sign an agreement with Moon Jae-in in Panmunjom in 2018?,b,No,A,a,Yes,0
9,leaders_agreement,MCQ,In which year did Helmut Kohl sign an agreement with François Mitterrand in Maastricht?,a,2018,B,b,1992,0
10,leaders_agreement,MCQ,Did Angela Merkel sign an agreement with Nicolas Sarkozy in Brussels in 2018?,a,Yes,B,b,No,0
11,leaders_agreement,MCQ,Did Anwar Sadat sign an agreement with Menachem Begin in Camp David in 1978?,b,No,A,a,Yes,0
12,leaders_agreement,MCQ,In which year did Barack Obama sign an agreement with Dmitry Medvedev in Prague?,d,1992,C,c,2010,0
13,leaders_agreement,MCQ,In which city did Barack Obama sign an agreement with Dmitry Medvedev in 2010?,d,Washington,C,c,Prague,0
14,leaders_agreement,MCQ,In which city did Angela Merkel sign an agreement with Nicolas Sarkozy in 2011?,a,Prague,B,b,Brussels,0
15,leaders_agreement,MCQ,In which city did Yitzhak Rabin sign an agreement with Yasser Arafat in 1993?,a,Camp David,B,b,Washington,0
16,leaders_agreement,MCQ,In which year did Yitzhak Rabin sign an agreement with Yasser Arafat in Washington?,b,1938,A,a,1993,0
17,leaders_agreement,MCQ,Did Ronald Reagan sign an agreement with Mikhail Gorbachev in Washington in 2011?,a,Yes,B,b,No,0
18,leaders_agreement,MCQ,In which year did Neville Chamberlain sign an agreement with Adolf Hitler in Munich?,c,1972,D,d,1938,0
19,leaders_agreement,MCQ,Did Helmut Kohl sign an agreement with François Mitterrand in Maastricht in 1992?,b,No,A,a,Yes,0
20,leaders_agreement,MCQ,Did Barack Obama sign an agreement with Dmitry Medvedev in Prague in 1992?,a,Yes,B,b,No,0
21,leaders_agreement,MCQ,In which year did Ronald Reagan sign an agreement with Mikhail Gorbachev in Washington?,d,2010,C,c,1987,0
22,leaders_agreement,MCQ,In which year did Anwar Sadat sign an agreement with Menachem Begin in Camp David?,d,1972,C,c,1978,0
