question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,scientist_collab,MCQ,On which topic did Isaac Newton and Edmond Halley collaborate?,d,number theory,C,c,celestial mechanics,0
2,scientist_collab,MCQ,Did James Watson collaborate with Francis Crick on quantum theory?,a,Yes,B,b,No,0
3,scientist_collab,MCQ,On which topic did Marie Curie and Pierre Curie collaborate?,a,game theory,B,b,radioactivity,0
4,scientist_collab,MCQ,On which topic did John Bardeen and Walter Brattain collaborate?,c,the genetic code,D,d,the transistor,0
5,scientist_collab,MCQ,Did John Bardeen collaborate with Walter Brattain on the transistor?,b,No,A,a,Yes,0
6,scientist_collab,MCQ,Which pair of scientists is most closely associated with SETI research?,b,Charles Darwin and Alfred Russel Wallace,A,a,Carl Sagan and Frank Drake,0
7,scientist_collab,MCQ,On which topic did Francis Crick and Sydney Brenner collaborate?,b,the transistor,A,a,the genetic code,0
8,scientist_collab,MCQ,Which pair of scientists is most closely associated with radioactivity?,d,John Bardeen and Walter Brattain,C,c,Marie Curie and Pierre Curie,0
9,scientist_collab,MCQ,Did Isaac Newton collaborate with Edmond Halley on celestial mechanics?,b,No,A,a,Yes,0
10,scientist_collab,MCQ,Did Albert Einstein collaborate with Niels Bohr on nuclear chain reactions?,a,Yes,B,b,No,0
11,scientist_collab,MCQ,Which pair of scientists is most closely associated with quantum theory?,b,John von Neumann and Oskar Morgenstern,A,a,Albert Einstein and Niels Bohr,0
12,scientist_collab,MCQ,On which topic did Albert Einstein and Niels Bohr collaborate?,b,DNA structure,A,a,quantum theory,0
13,scientist_collab,MCQ,Did James Watson collaborate with Francis Crick on DNA structure?,b,No,A,a,Yes,0
14,scientist_collab,MCQ,On which topic did John von Neumann and Oskar Morgenstern collaborate?,d,celestial mechanics,C,c,game theory,0
15,scientist_collab,MCQ,On which topic did Charles Darwin and Alfred Russel Wallace collaborate?,a,DNA structure,B,b,evolution,0
16,scientist_collab,MCQ,Did John Bardeen collaborate with Walter Brattain on game theory?,a,Yes,B,b,No,0
17,scientist_collab,MCQ,On which topic did James Watson and Francis Crick collaborate?,d,SETI research,C,c,DNA structure,0
18,scientist_collab,MCQ,Did Francis Crick collaborate with Sydney Brenner on nuclear chain reactions?,a,Yes,B,b,No,0
19,scientist_collab,MCQ,Did G. H. Hardy collaborate with Srinivasa Ramanujan on game theory?,a,Yes,B,b,No,0
