question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,leader_declaration,MCQ,What did Anwar Sadat declare in the presence of Menachem Begin?,d,a reconciliation treaty between France and West Germany,C,c,a peace initiative between Egypt and Israel,0
2,leader_declaration,MCQ,Did Yitzhak Rabin declare the Oslo peace process in the presence of Yasser Arafat?,b,No,A,a,Yes,0
3,leader_declaration,MCQ,Did Mikhail Gorbachev declare the Intermediate-Range Nuclear Forces (INF) Treaty in the presence of Ronald Reagan?,b,No,A,a,Yes,0
4,leader_declaration,MCQ,Did Anwar Sadat declare a peace initiative between Egypt and Israel in the presence of Menachem Begin?,b,No,B,b,No,1
5,leader_declaration,MCQ,Who was present when Yitzhak Rabin declared the Oslo peace process?,b,Mikhail Gorbachev,A,a,Yasser Arafat,0
6,leader_declaration,MCQ,Who was present when Anwar Sadat declared a peace initiative between Egypt and Israel?,c,Konrad Adenauer,D,d,Menachem Begin,0
7,leader_declaration,MCQ,Did George H. W. Bush declare war on Japan after the attack on Pearl Harbor in the presence of Mikhail Gorbachev?,a,Yes,B,b,No,0
8,leader_declaration,MCQ,Did Franklin D. Roosevelt declare war on Japan after the attack on Pearl Harbor in the presence of Winston Churchill?,b,No,B,b,No,1
9,leader_declaration,MCQ,Did Mikhail Gorbachev declare the end of the Cold War in the presence of Ronald Reagan?,a,Yes,B,b,No,0
10,leader_declaration,MCQ,What did Angela Merkel declare in the presence of Nicolas Sarkozy?,a,a reconciliation treaty between France and West Germany,B,b,a European financial rescue plan,0
11,leader_declaration,MCQ,Who was present when Franklin D. Roosevelt declared war on Japan after the attack on Pearl Harbor?,c,Nicolas Sarkozy,D,d,Winston Churchill,0
12,leader_declaration,MCQ,Did Charles de Gaulle declare a reconciliation treaty between France and West Germany in the presence of Konrad Adenauer?,b,No,A,a,Yes,0
13,leader_declaration,MCQ,Did George H. W. Bush declare the end of the Cold War in the presence of Mikhail Gorbachev?,b,No,B,b,No,1
14,leader_declaration,MCQ,Did Neville Chamberlain declare the end of World War II in Europe in the presence of Adolf Hitler?,a,Yes,B,b,No,0
15,leader_declaration,MCQ,What did George H. W. Bush declare in the presence of Mikhail Gorbachev?,b,a peace initiative between Egypt and Israel,A,a,the end of the Cold War,0
16,leader_declaration,MCQ,What did Mikhail Gorbachev declare in the presence of Ronald Reagan?,c,a European financial rescue plan,D,d,the Intermediate-Range Nuclear Forces (INF) Treaty,0
17,leader_declaration,MCQ,What did Charles de Gaulle declare in the presence of Konrad Adenauer?,d,the end of World War II in Europe,C,c,a reconciliation treaty between France and West Germany,0
18,leader_declaration,MCQ,Who was present when Mikhail Gorbachev declared the Intermediate-Range Nuclear Forces (INF) Treaty?,b,Mikhail Gorbachev,A,a,Ronald Reagan,0
19,leader_declaration,MCQ,Did Angela Merkel declare the Strategic Arms Limitation Talks (SALT I) agreement in the presence of Nicolas Sarkozy?,a,Yes,B,b,No,0
20,leader_declaration,MCQ,Who was present when Angela Merkel declared a European financial rescue plan?,d,Leonid Brezhnev,C,c,Nicolas Sarkozy,0
21,leader_declaration,MCQ,Did Angela Merkel declare a European financial rescue plan in the presence of Nicolas Sarkozy?,b,No,A,a,Yes,0
22,leader_declaration,MCQ,Did Anwar Sadat declare the Munich Agreement in the presence of Menachem Begin?,a,Yes,B,b,No,0
23,leader_declaration,MCQ,Who was present when Harry S. Truman declared the end of World War II in Europe?,c,Leonid Brezhnev,D,d,Joseph Stalin,0
24,leader_declaration,MCQ,Did Harry S. Truman declare a peace initiative between Egypt and Israel in the presence of Joseph Stalin?,a,Yes,B,b,No,0
25,leader_declaration,MCQ,Did Richard Nixon declare the Strategic Arms Limitation Talks (SALT I) agreement in the presence of Leonid Brezhnev?,b,No,A,a,Yes,0
26,leader_declaration,MCQ,What did Richard Nixon declare in the presence of Leonid Brezhnev?,c,a peace initiative between Egypt and Israel,D,d,the Strategic Arms Limitation Talks (SALT I) agreement,0
27,leader_declaration,MCQ,What did Franklin D. Roosevelt declare in the presence of Winston Churchill?,d,the Strategic Arms Limitation Talks (SALT I) agreement,B,b,the end of World War II in Europe,0
28,leader_declaration,MCQ,Did Neville Chamberlain declare the Munich Agreement in the presence of Adolf Hitler?,b,No,A,a,Yes,0
29,leader_declaration,MCQ,Who was present when Richard Nixon declared the Strategic Arms Limitation Talks (SALT I) agreement?,b,Ronald Reagan,A,a,Leonid Brezhnev,0
30,leader_declaration,MCQ,Did Harry S. Truman declare the end of World War II in Europe in the presence of Joseph Stalin?,b,No,B,b,No,1
