question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,person_event,MCQ,In which city did Angela Merkel attend the UN Climate Change Conference COP21 held in 2015?,c,Yalta,D,d,Paris,0
2,person_event,MCQ,In which city did Jawaharlal Nehru attend the Bandung Conference held in 1955?,c,Pretoria,D,d,Bandung,0
3,person_event,MCQ,In which city did Emmanuel Macron attend the G7 Summit in Biarritz held in 2019?,c,Paris,D,d,Biarritz,0
4,person_event,MCQ,Did John F. Kennedy attend the Vienna Summit held in Vienna in 1961?,b,No,A,a,Yes,0
5,person_event,MCQ,In which city did John F. Kennedy attend the Vienna Summit held in 1961?,a,"Washington, D.C.",B,b,Vienna,0
6,person_event,MCQ,Did Nelson Mandela attend the 1994 Presidential Inauguration held in Yalta in 1994?,a,Yes,B,b,No,0
7,person_event,MCQ,Did Franklin D. Roosevelt attend the Yalta Conference held in Yalta in 1945?,b,No,A,a,Yes,0
8,person_event,MCQ,Did Martin Luther King Jr. attend the March on Washington held in Reykjavik in 1963?,a,Yes,B,b,No,0
9,person_event,MCQ,Did Jawaharlal Nehru attend the Bandung Conference held in Biarritz in 1955?,a,Yes,A,a,Yes,1
10,person_event,MCQ,In which city did Nelson Mandela attend the 1994 Presidential Inauguration held in 1994?,b,Reykjavik,A,a,Pretoria,0
11,person_event,MCQ,"Who attended the March on Washington held in Washington, D.C. in 1963?",b,Nelson Mandela,A,a,Martin Luther King Jr.,0
12,person_event,MCQ,"Did Martin Luther King Jr. attend the March on Washington held in Washington, D.C. in 1963?",b,No,A,a,Yes,0
13,person_event,MCQ,In which city did Barack Obama attend the UN Climate Change Conference COP21 held in 2015?,b,Pretoria,A,a,Paris,0
14,person_event,MCQ,Did Franklin D. Roosevelt attend the Yalta Conference held in Bandung in 1945?,a,Yes,B,b,No,0
15,person_event,MCQ,In which city did Martin Luther King Jr. attend the March on Washington held in 1963?,a,Pretoria,B,b,"Washington, D.C.",0
16,person_event,MCQ,Who attended the Yalta Conference held in Yalta in 1945?,b,Franklin D. Roosevelt,A,a,Winston Churchill,0
17,person_event,MCQ,Did Winston Churchill attend the Yalta Conference held in Yalta in 1945?,b,No,A,a,Yes,0
18,person_event,MCQ,Did Emmanuel Macron attend the G7 Summit in Biarritz held in Bandung in 2019?,a,Yes,B,b,No,0
19,person_event,MCQ,Did Barack Obama attend the UN Climate Change Conference COP21 held in Yalta in 2015?,a,Yes,B,b,No,0
20,person_event,MCQ,Who attended the 1994 Presidential Inauguration held in Pretoria in 1994?,d,Mikhail Gorbachev,C,c,Nelson Mandela,0
21,person_event,MCQ,Who attended the Bandung Conference held in Bandung in 1955?,d,Barack Obama,C,c,Jawaharlal Nehru,0
22,person_event,MCQ,Who attended the G7 Summit in Biarritz held in Biarritz in 2019?,a,Mikhail Gorbachev,B,b,Emmanuel Macron,0
23,person_event,MCQ,"Did Mikhail Gorbachev attend the Reykjavik Summit held in Washington, D.C. in 1986?",a,Yes,B,b,No,0
24,person_event,MCQ,Who attended the UN Climate Change Conference COP21 held in Paris in 2015?,c,Nelson Mandela,D,d,Barack Obama,0
25,person_event,MCQ,Did John F. Kennedy attend the Vienna Summit held in Reykjavik in 1961?,a,Yes,B,b,No,0
26,person_event,MCQ,In which city did Winston Churchill attend the Yalta Conference held in 1945?,a,Paris,B,b,Yalta,0
27,person_event,MCQ,Did Jawaharlal Nehru attend the Bandung Conference held in Bandung in 1955?,b,No,A,a,Yes,0
28,person_event,MCQ,Who attended the Reykjavik Summit held in Reykjavik in 1986?,a,Angela Merkel,B,b,Mikhail Gorbachev,0
29,person_event,MCQ,In which city did Franklin D. Roosevelt attend the Yalta Conference held in 1945?,a,Reykjavik,B,b,Yalta,0
30,person_event,MCQ,Who attended the Vienna Summit held in Vienna in 1961?,b,Emmanuel Macron,A,a,John F. Kennedy,0
31,person_event,MCQ,Did Mikhail Gorbachev attend the Reykjavik Summit held in Reykjavik in 1986?,b,No,A,a,Yes,0
32,person_event,MCQ,Did Angela Merkel attend the UN Climate Change Conference COP21 held in Paris in 2015?,b,No,A,a,Yes,0
33,person_event,MCQ,Did Emmanuel Macron attend the G7 Summit in Biarritz held in Biarritz in 2019?,b,No,A,a,Yes,0
34,person_event,MCQ,Did Angela Merkel attend the UN Climate Change Conference COP21 held in Yalta in 2015?,a,Yes,B,b,No,0
35,person_event,MCQ,In which city did Mikhail Gorbachev attend the Reykjavik Summit held in 1986?,c,Paris,D,d,Reykjavik,0
36,person_event,MCQ,Did Barack Obama attend the UN Climate Change Conference COP21 held in Paris in 2015?,b,No,A,a,Yes,0
37,person_event,MCQ,"Did Winston Churchill attend the Yalta Conference held in Washington, D.C. in 1945?",a,Yes,B,b,No,0
38,person_event,MCQ,Did Nelson Mandela attend the 1994 Presidential Inauguration held in Pretoria in 1994?,b,No,A,a,Yes,0
39,person_event,MCQ,"Historically, In which city did Angela Merkel attend the UN Climate Change Conference COP21 held in 2015?",c,Yalta,D,d,Paris,0
40,person_event,MCQ,"According to historians, In which city did Angela Merkel attend the UN Climate Change Conference COP21 held in 2015?",c,Yalta,D,d,Paris,0
41,person_event,MCQ,In which city did Angela Merkel attend the UN Climate Change Conference COP21 held in 2015 (historical context)?,c,Yalta,D,d,Paris,0
42,person_event,MCQ,"In history exams, students may be asked: In which city did Angela Merkel attend the UN Climate Change Conference COP21 held in 2015?",c,Yalta,D,d,Paris,0
43,person_event,MCQ,"Historically, In which city did Jawaharlal Nehru attend the Bandung Conference held in 1955?",c,Pretoria,D,d,Bandung,0
44,person_event,MCQ,"According to historians, In which city did Jawaharlal Nehru attend the Bandung Conference held in 1955?",c,Pretoria,D,d,Bandung,0
45,person_event,MCQ,In which city did Jawaharlal Nehru attend the Bandung Conference held in 1955 (historical context)?,c,Pretoria,D,d,Bandung,0
46,person_event,MCQ,"In history exams, students may be asked: In which city did Jawaharlal Nehru attend the Bandung Conference held in 1955?",c,Pretoria,D,d,Bandung,0
47,person_event,MCQ,"Historically, In which city did Emmanuel Macron attend the G7 Summit in Biarritz held in 2019?",c,Paris,D,d,Biarritz,0
48,person_event,MCQ,"According to historians, In which city did Emmanuel Macron attend the G7 Summit in Biarritz held in 2019?",c,Paris,D,d,Biarritz,0
49,person_event,MCQ,In which city did Emmanuel Macron attend the G7 Summit in Biarritz held in 2019 (historical context)?,c,Paris,D,d,Biarritz,0
50,person_event,MCQ,"In history exams, students may be asked: In which city did Emmanuel Macron attend the G7 Summit in Biarritz held in 2019?",c,Paris,D,d,Biarritz,0
51,person_event,MCQ,"Historically, Did John F. Kennedy attend the Vienna Summit held in Vienna in 1961?",b,No,A,a,Yes,0
52,person_event,MCQ,"According to historians, Did John F. Kennedy attend the Vienna Summit held in Vienna in 1961?",b,No,A,a,Yes,0
53,person_event,MCQ,Did John F. Kennedy attend the Vienna Summit held in Vienna in 1961 (historical context)?,b,No,A,a,Yes,0
54,person_event,MCQ,"In history exams, students may be asked: Did John F. Kennedy attend the Vienna Summit held in Vienna in 1961?",b,No,A,a,Yes,0
55,person_event,MCQ,"Historically, In which city did John F. Kennedy attend the Vienna Summit held in 1961?",a,"Washington, D.C.",B,b,Vienna,0
56,person_event,MCQ,"According to historians, In which city did John F. Kennedy attend the Vienna Summit held in 1961?",a,"Washington, D.C.",B,b,Vienna,0
57,person_event,MCQ,In which city did John F. Kennedy attend the Vienna Summit held in 1961 (historical context)?,a,"Washington, D.C.",B,b,Vienna,0
58,person_event,MCQ,"In history exams, students may be asked: In which city did John F. Kennedy attend the Vienna Summit held in 1961?",a,"Washington, D.C.",B,b,Vienna,0
59,person_event,MCQ,"Historically, Did Nelson Mandela attend the 1994 Presidential Inauguration held in Yalta in 1994?",a,Yes,B,b,No,0
60,person_event,MCQ,"According to historians, Did Nelson Mandela attend the 1994 Presidential Inauguration held in Yalta in 1994?",a,Yes,B,b,No,0
61,person_event,MCQ,Did Nelson Mandela attend the 1994 Presidential Inauguration held in Yalta in 1994 (historical context)?,a,Yes,B,b,No,0
62,person_event,MCQ,"In history exams, students may be asked: Did Nelson Mandela attend the 1994 Presidential Inauguration held in Yalta in 1994?",a,Yes,B,b,No,0
63,person_event,MCQ,"Historically, Did Franklin D. Roosevelt attend the Yalta Conference held in Yalta in 1945?",b,No,A,a,Yes,0
