question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,The Mongol Empire collapsed entirely before the year 1300.,a,True,False,b,False,0
2,unknown,TF,The Roman Republic was founded immediately after the assassination of Julius Caesar.,a,True,False,b,False,0
3,unknown,TF,Ancient Egypt's Old Kingdom is often called the 'Age of Pharaohs' because most pyramids were built then.,b,False,True,a,True,0
4,unknown,TF,The Battle of Hastings in 1066 resulted in a decisive victory for the French king.,a,True,False,b,False,0
5,unknown,TF,The Great Wall of China was originally built to protect against invasions from the Roman Empire.,a,True,False,b,False,0
6,unknown,TF,The Aztec Empire controlled most of South America during the 15th century.,a,True,False,b,False,0
7,unknown,TF,Marco Polo traveled to China during the Yuan Dynasty.,a,True,True,a,True,1
8,unknown,TF,The Ottoman Empire officially ended after World War I.,b,False,True,a,True,0
9,unknown,TF,Genghis Khan united the Mongol tribes in the 13th century.,b,False,True,a,True,0
10,unknown,TF,The city of Constantinople fell to the Ottomans in 1453.,a,True,True,a,True,1
11,unknown,TF,The French Revolution began in 1789.,b,False,True,a,True,0
12,unknown,TF,The Mughal Empire originated in Persia before moving into India.,a,True,False,b,False,0
13,unknown,TF,The Industrial Revolution first began in Germany.,a,True,False,b,False,0
14,unknown,TF,Japan's Meiji Restoration marked the country's shift from feudal rule to modernization.,a,True,True,a,True,1
15,unknown,TF,The first successful human flight by the Wright brothers occurred in 1903.,b,False,True,a,True,0
16,unknown,TF,The Persian Empire under Cyrus the Great was known for its tolerance and administrative efficiency.,b,False,True,a,True,0
17,unknown,TF,The Cold War began immediately after World War I ended.,a,True,False,b,False,0
18,unknown,TF,The Great Depression began with the stock market crash in 1929.,a,True,True,a,True,1
19,unknown,TF,"China's Han Dynasty is considered a golden age of culture, science, and technology.",b,False,True,a,True,0
20,unknown,TF,The Renaissance began first in northern Europe before spreading to Italy.,a,True,False,b,False,0
21,unknown,TF,Napoleon Bonaparte was exiled to Elba before being exiled again to Santa Monica.,a,True,False,b,False,0
22,unknown,TF,Phoenicians were known for creating one of the earliest alphabets.,a,True,True,a,True,1
23,unknown,TF,The Qin Dynasty unified China after the Warring States Period.,b,False,True,a,True,0
24,unknown,TF,World War I ended in 1945.,a,True,False,b,False,0
25,unknown,TF,Vikings reached North America around the year 1000.,b,False,True,a,True,0
26,unknown,TF,The Sumerians are credited with creating cuneiform writing.,a,True,True,a,True,1
27,unknown,TF,The Chinese invention of gunpowder occurred during the Ming Dynasty.,a,True,False,b,False,0
28,unknown,TF,The Declaration of Independence was signed in 1776.,b,False,True,a,True,0
29,unknown,TF,The ancient city of Petra was built by the Nabataeans.,b,False,True,a,True,0
30,unknown,TF,King Tutankhamun became pharaoh at a very young age.,a,True,True,a,True,1
