question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"Given the Battle of Singapore and the Fernando Collor's Impeachment, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
2,unknown,TF,"Given the Boris Yeltsin Elected as First President of Russia and the The Big Freeze of 1963, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
3,unknown,TF,"Given the Formation of the Saudi Arabian National Guard and the Abolition of Slavery Enforced, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
4,unknown,TF,"Given the Separation and Independence and the Zika Virus Outbreak, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
5,unknown,TF,"Given the Reza Shah's Modernization Efforts and the 1978 FIFA World Cup Victory, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
6,unknown,TF,"Given the North Korea's First Nuclear Test and the Egyptian Revolution of 1952, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
7,unknown,TF,"Given the Pulwama Terrorist Attack and the MV Doña Paz Collision, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
8,unknown,TF,"Given the East Pakistan demands autonomy and the Affordable Care Act (Obamacare) Implementation, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
9,unknown,TF,"Given the Homosexual Law Reform Act and the Norwegian Independence, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
10,unknown,TF,"Given the Whitlam Government's Dismissal and the Union of Castile and Aragon, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
11,unknown,TF,"Given the 1967 Referendum on Indigenous Australians and the Expulsion of the Jews, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
12,unknown,TF,"Given the Royal Commission into Institutional Responses... and the Spanish Constitution of 1978, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
13,unknown,TF,"Given the Māori Seats Established in Parliament and the Christianization of Denmark, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
14,unknown,TF,"Given the Panama Papers Case & Disqualification of PM Nawaz Sharif and the Housing Market Crash and Great Recession, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
15,unknown,TF,"Given the Right to Information Act Enacted and the 2004 Tsunami Impact, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
16,unknown,TF,"Given the Constitutional Revolution and the Arrival of the Spanish and the Fall of Tenochtitlán, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
17,unknown,TF,"Given the Merger with Malaysia and the Dilma Rousseff's Impeachment, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
18,unknown,TF,"Given the The Grand Canal Construction and the Statute of Westminster, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
19,unknown,TF,"Given the Establishment of the People's Republic of China and the Battle of Trafalgar, it is possible for someone to have lived during both of them.",b,False,False,b,False,1
20,unknown,TF,"Given the Pakistan Joins the United Nations and the Paris Agreement Rejoining, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
21,unknown,TF,"Given the Lê Dynasty Restoration and the Independence from France, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
22,unknown,TF,"Given the Malala Yousafzai's Nobel Peace Prize and the Transcontinental Railroad Completed, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
23,unknown,TF,"Given the Resource Management Act Enacted and the Second Schleswig War, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
24,unknown,TF,"Given the Women's Franchise Act Passed and the Battle of Vimy Ridge, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
25,unknown,TF,"Given the Return of Macau and the Signing of the Magna Carta, it is possible for someone to have lived during both of them.",b,False,False,b,False,1
26,unknown,TF,"Given the May Fourth Movement and the Official Languages Act, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
27,unknown,TF,"Given the Waitangi Tribunal Established and the Signing of the Treaty of Fredrikshamn, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
28,unknown,TF,"Given the Sook Ching Massacre and the Plano Real Economic Stabilization, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
29,unknown,TF,"Given the Establishment of the Kingdom of Saudi Arabia and the Coup d'état Leads to Mugabe's Resignation, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
30,unknown,TF,"Given the Kandahar Hijacking (IC 814) and the 1MDB Scandal, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
31,unknown,TF,"Given the Battle of Red Cliffs and the Balfour Declaration of 1926, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
32,unknown,TF,"Given the Forced Sedentarization of Nomads and the Mexican War of Independence Begins, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
33,unknown,TF,"Given the Establishment of Joseon Dynasty and the Independence from Britain, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
34,unknown,TF,"Given the Marco Polo's Visit to Yuan Dynasty China and the The Restoration of the Monarchy, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
35,unknown,TF,"Given the End of the Civil War and the French and Indian War, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
36,unknown,TF,"Given the Russian Civil War and the Grenfell Tower Fire, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
37,unknown,TF,"Given the Armistice Agreement and the Independence from France, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
38,unknown,TF,"Given the Establishment of the Colony of Van Diemen's Land and the Fall of Mussolini, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
39,unknown,TF,"Given the Establishment of the National Assembly and the Return to Democracy, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
40,unknown,TF,"Given the Korean War and the Independence from Britain, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
41,unknown,TF,"Given the Founding of the People's Republic of China and the Reform Act 1832, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
42,unknown,TF,"Given the First Round Table Conference and the Civil Rights Act of 1964, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
43,unknown,TF,"Given the ANZUS Treaty Suspension and the Lapland War, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
44,unknown,TF,"Given the Boxer Rebellion and the Creation of the Canadian Flag, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
45,unknown,TF,"Given the Assassination of Benazir Bhutto and the Roe v. Wade Supreme Court Decision, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
46,unknown,TF,"Given the Cable Car Disaster and the The Peace of Augsburg, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
47,unknown,TF,"Given the Federation of Australia and the Establishment of the Spanish Inquisition, it is possible for someone to have lived during both of them.",b,False,False,b,False,1
48,unknown,TF,"Given the 18th Amendment to the Constitution and the Dred Scott Decision, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
49,unknown,TF,"Given the India's First Transgender University and the Pakatan Harapan Electoral Victory, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
50,unknown,TF,"Given the Establishment of the Provisional Government and the Independence from France, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
51,unknown,TF,"Given the Beslan School Siege and the Launch of the First Crusade, it is possible for someone to have lived during both of them.",b,False,False,b,False,1
52,unknown,TF,"Given the Labour Party Elected for the First Time and the Black Death in Norway, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
53,unknown,TF,"Given the Maria Hertogh Riots and the Mensalão Scandal, it is possible for someone to have lived during both of them.",a,True,True,a,True,1
54,unknown,TF,"Given the Mongol Conquest and the Yuan Dynasty Establishment and the Apology to Residential School Survivors, it is possible for someone to have lived during both of them.",b,False,False,b,False,1
55,unknown,TF,"Given the Great Leap Forward and the Queen Victoria's Reign Begins, it is possible for someone to have lived during both of them.",b,False,True,a,True,0
