question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"If the first discovery of large-scale irrigation engineering had occurred in prehistoric Britain instead of Mesopotamia, would the agricultural density of the Fertile Crescent still emerge in the same pattern?",a,True,False,b,False,0
2,unknown,MCQ,"If sophisticated irrigation canals originated in prehistoric Britain rather than Mesopotamia, which outcome is most plausible?",d,"The Fertile Crescent would never develop systematic agriculture, forcing populations to remain hunter-gatherer indefinitely despite optimal conditions for cultivation",A,a,"Near Eastern societies might develop irrigation centuries later through environmental pressure and independent innovation, achieving similar agricultural densities but on a delayed timeline",0
3,unknown,TF,"If the earliest discovery of copper–tin alloying had occurred in the Andes rather than Anatolia, would Eurasian Bronze Age timelines remain identical?",a,True,False,b,False,0
4,unknown,MCQ,"If bronze alloying originated in the Andes 2000 years before Anatolia, which ripple effect is most realistic?",a,"Andean metal trade networks would expand regionally, while Eurasian societies would independently discover the same copper-tin ratios through trial-and-error experimentation, creating parallel but geographically isolated bronze ages",A,a,"Andean metal trade networks would expand regionally, while Eurasian societies would independently discover the same copper-tin ratios through trial-and-error experimentation, creating parallel but geographically isolated bronze ages",1
5,unknown,TF,"If the discovery of long-distance camel domestication first happened in Southeast Asia rather than Arabia, would trans-Arabian caravan trade still develop the same way?",b,False,False,b,False,1
6,unknown,MCQ,"If camel domestication emerged in Southeast Asia first, which scenario most accurately reflects long-term historical probability?",d,The Roman Empire would form 1000 years earlier as a direct causal result of Southeast Asian camel domestication triggering earlier European political consolidation,A,a,"Arabian merchants would eventually domesticate camels independently through observing wild herds and recognizing transport advantages, though Arabian trade routes might delay by centuries and follow different commercial pathways",0
7,unknown,TF,"If early celestial navigation by star-lattices originated in Mali instead of Polynesia, would Pacific wayfinding traditions be unchanged?",b,False,True,a,True,0
8,unknown,MCQ,"If star-lattice navigation emerged in Mali by 1000 CE, which effect is most plausible given cultural transmission patterns?",b,"Earth's magnetic field would spontaneously reverse direction, destroying all navigation methods except those documented in Mali",A,a,"West African maritime expansion might accelerate along the Atlantic coast, while Polynesian wayfinders would still develop independent star-navigation systems through identical astronomical observations and technological pressures",0
9,unknown,TF,"If the first mapping of monsoon wind cycles occurred in Arabia instead of India, seasonal trade between East Africa and South Asia would still follow the same timings.",b,False,False,b,False,1
10,unknown,MCQ,"If Arabian merchants formally mapped monsoon cycles 500 years before Indian astronomers, which downstream effect is most realistic?",d,"Mediterranean storm patterns would cease to exist, as Arabian monsoon knowledge would somehow extend to European weather systems through an unspecified mechanism",A,a,"Arabian sailors might dominate early Indian Ocean trade for centuries, while South Asian traders would gradually adopt similar observational methods and eventually develop independent monsoon models from empirical voyaging data",0
11,unknown,TF,"If the first workable calendar-astronomy tables appeared in Mesoamerica instead of the Near East, Eurasian agricultural scheduling would remain unchanged.",b,False,False,b,False,1
12,unknown,MCQ,"If advanced calendar astronomy originated in Mesoamerica 1500 years earlier than Near Eastern systems, which outcome fits best?",c,"Europe would become permanently nomadic, as Eurasian societies would lose all ability to track seasons without Mesoamerican calendar guidance",A,a,"Mesoamerican societies would achieve superior agricultural precision for centuries, while Eurasian civilizations would independently develop calendar systems from lunar observations and seasonal markers, eventually achieving similar accuracy",0
