question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,Tom Hanks watched a movie about Albert Einstein in 1995.,a,True,False,b,False,0
2,unknown,TF,Emma Watson watched a movie about Leonardo da Vinci in 1900.,b,False,False,b,False,1
3,unknown,TF,Morgan Freeman watched a movie about Isaac Newton in 1980.,a,True,False,b,False,0
4,unknown,TF,Scarlett Johansson watched a movie about Cleopatra in 1490.,b,False,False,b,False,1
5,unknown,TF,Chris Evans watched a movie about Nikola Tesla in 2010.,a,True,False,b,False,0
6,unknown,TF,Angelina Jolie watched a movie about Socrates in 2005.,a,True,False,b,False,0
7,unknown,TF,Robert Downey Jr. watched a movie about Marie Curie in 1920.,b,False,False,b,False,1
8,unknown,TF,Jennifer Lawrence watched a movie about Vincent van Gogh in 2018.,a,True,False,b,False,0
9,unknown,TF,Keanu Reeves watched a movie about Julius Caesar in 1800.,b,False,False,b,False,1
10,unknown,TF,Natalie Portman watched a movie about Amelia Earhart in 2009.,a,True,False,b,False,0
11,unknown,TF,Harrison Ford watched a movie about Winston Churchill in 2016.,a,True,False,b,False,0
12,unknown,TF,Zendaya watched a movie about Mozart in 1700.,b,False,False,b,False,1
13,unknown,TF,Will Smith watched a movie about Malcolm X in 1992.,a,True,False,b,False,0
14,unknown,TF,Brie Larson watched a movie about Joan of Arc in 1890.,b,False,False,b,False,1
15,unknown,TF,Chris Hemsworth watched a movie about Abraham Lincoln in 2012.,a,True,False,b,False,0
16,unknown,TF,Anne Hathaway watched a movie about Galileo Galilei in 1950.,a,True,False,b,False,0
17,unknown,TF,Denzel Washington watched a movie about Nelson Mandela in 2009.,a,True,False,b,False,0
18,unknown,TF,Samuel L. Jackson watched a movie about Confucius in 1925.,b,False,False,b,False,1
19,unknown,TF,Gal Gadot watched a movie about Florence Nightingale in 2020.,a,True,False,b,False,0
20,unknown,TF,Leonardo DiCaprio watched a movie about King Tutankhamun in 1990.,a,True,False,b,False,0
21,unknown,TF,Sandra Bullock watched a movie about Queen Victoria in 2017.,a,True,False,b,False,0
22,unknown,TF,Matt Damon watched a movie about Aristotle in 1930.,b,False,False,b,False,1
23,unknown,TF,Robert Pattinson watched a movie about Pablo Picasso in 2005.,a,True,False,b,False,0
