question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"If Tyrannosaurus rex had been suddenly transported to the Anthropocene with its identical physiology unchanged, would predatory success depend primarily on prey availability rather than climate adaptation?",a,True,True,a,True,1
2,unknown,MCQ,How would a Tyrannosaurus rex survive in modern ecosystems?,d,"Modern atmospheric oxygen levels are too low, causing cellular respiration failure across all tissues",C,c,"It could establish dominance initially through superior bite force, though sustaining caloric intake would require behavioral modification of hunting patterns",0
3,unknown,TF,"If Homo erectus possessed modern human cognitive architecture but retained ancestral morphology, could they acquire language skills through neural plasticity alone without anatomical throat modifications?",a,True,False,b,False,0
4,unknown,MCQ,Can Homo erectus survive in modern cities without technological assistance?,a,"Yes, if cognitive architecture matches modern humans, but they'd require speech therapy for laryngeal limitations",C,c,"They could survive through communicating via gestures and written symbols, though social integration would face persistent barriers from morphological differences",0
5,unknown,TF,"If Archaeopteryx possessed modern-grade feather insulation but maintained Jurassic skeletal proportions, would energy expenditure in sustained flight exceed what terrestrial browsing could sustain?",b,False,True,a,True,0
6,unknown,MCQ,Could Archaeopteryx survive in modern forests?,d,It would inevitably be outcompeted because modern birds have evolved hyperoxygenic blood that Archaeopteryx lacks genetically,B,b,"No—its wing-to-body ratio would prohibit powered flight in Earth's current atmospheric density, though gliding would remain possible from elevated positions",0
7,unknown,TF,"If Megatherium maintained its 6-ton mass in modern rainforests with current soil bearing capacity, would nutritional demands force it into specialized diet rather than generalist browsing?",b,False,True,a,True,0
8,unknown,MCQ,Can a Megatherium survive in modern tropical rainforests?,b,"No—the forest canopy has become more densely interlaced over evolutionary time, making its 20-foot reach insufficient for adequate browse height",C,c,"It would require constant migration through territories exceeding 500 square kilometers, but modern habitat fragmentation makes this ecologically impossible",0
9,unknown,TF,"If Neanderthals retained their ancestors' cold-adaptation physiology but lost cultural technology transmission, would their biological thermoregulation alone permit survival in last-glacial-maximum conditions?",b,False,False,b,False,1
10,unknown,MCQ,Can Neanderthals survive in a modern ice age scenario?,d,"Neanderthals could adapt behaviorally by developing fire-making technology independently, as their neural architecture permits innovation given environmental pressure",A,a,They could survive initial stages but would face cascading cultural collapse because memory-dependent tool knowledge wouldn't be encoded biologically,0
