question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Marie Curie have seen alive in their lifetime?,b,passenger pigeon,B,b,passenger pigeon,1
2,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Leonardo da Vinci have seen alive in their lifetime?,a,thylacine (Tasmanian tiger),D,d,great auk,0
3,person_seen_recent_extinct,MCQ,Could Marie Curie have seen the great auk alive in their lifetime?,a,Yes,B,b,No,0
4,person_seen_recent_extinct,MCQ,Which of the following people could have seen the thylacine (Tasmanian tiger) alive in their lifetime?,c,Nikola Tesla,D,d,Albert Einstein,0
5,person_seen_recent_extinct,MCQ,Could Abraham Lincoln have seen the quagga alive in their lifetime?,a,Yes,B,b,No,0
6,person_seen_recent_extinct,MCQ,Could Mahatma Gandhi have seen the quagga alive in their lifetime?,b,No,B,b,No,1
7,person_seen_recent_extinct,MCQ,Could Charles Darwin have seen the great auk alive in their lifetime?,a,Yes,A,a,Yes,1
8,person_seen_recent_extinct,MCQ,Could Albert Einstein have seen the quagga alive in their lifetime?,a,Yes,A,a,Yes,1
9,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Nikola Tesla have seen alive in their lifetime?,c,great auk,D,d,thylacine (Tasmanian tiger),0
10,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Isaac Newton have seen alive in their lifetime?,d,thylacine (Tasmanian tiger),B,b,great auk,0
11,person_seen_recent_extinct,MCQ,Could Leonardo da Vinci have seen the quagga alive in their lifetime?,a,Yes,B,b,No,0
12,person_seen_recent_extinct,MCQ,Could Leonardo da Vinci have seen the dodo alive in their lifetime?,b,No,B,b,No,1
13,person_seen_recent_extinct,MCQ,Could Isaac Newton have seen the Steller's sea cow alive in their lifetime?,b,No,B,b,No,1
14,person_seen_recent_extinct,MCQ,Which of the following people could have seen the passenger pigeon alive in their lifetime?,a,Mahatma Gandhi,B,b,Abraham Lincoln,0
15,person_seen_recent_extinct,MCQ,Could Jane Goodall have seen the passenger pigeon alive in their lifetime?,a,Yes,B,b,No,0
16,person_seen_recent_extinct,MCQ,Which of the following people could have seen the quagga alive in their lifetime?,b,Abraham Lincoln,A,a,Charles Darwin,0
17,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Albert Einstein have seen alive in their lifetime?,b,quagga,C,c,thylacine (Tasmanian tiger),0
18,person_seen_recent_extinct,MCQ,Could Nikola Tesla have seen the thylacine (Tasmanian tiger) alive in their lifetime?,b,No,A,a,Yes,0
19,person_seen_recent_extinct,MCQ,Could Leonardo da Vinci have seen the thylacine (Tasmanian tiger) alive in their lifetime?,b,No,B,b,No,1
20,person_seen_recent_extinct,MCQ,Could Marie Curie have seen the thylacine (Tasmanian tiger) alive in their lifetime?,b,No,A,a,Yes,0
21,person_seen_recent_extinct,MCQ,Could Nikola Tesla have seen the quagga alive in their lifetime?,a,Yes,A,a,Yes,1
22,person_seen_recent_extinct,MCQ,Which of the following people could have seen the dodo alive in their lifetime?,b,Jane Goodall,A,a,Leonardo da Vinci,0
23,person_seen_recent_extinct,MCQ,Could Leonardo da Vinci have seen the passenger pigeon alive in their lifetime?,b,No,B,b,No,1
24,person_seen_recent_extinct,MCQ,Which of the following people could have seen the great auk alive in their lifetime?,a,Leonardo da Vinci,B,b,Isaac Newton,0
25,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Abraham Lincoln have seen alive in their lifetime?,c,Steller's sea cow,D,d,passenger pigeon,0
26,person_seen_recent_extinct,MCQ,Could Jane Goodall have seen the thylacine (Tasmanian tiger) alive in their lifetime?,b,No,A,a,Yes,0
27,person_seen_recent_extinct,MCQ,Could Abraham Lincoln have seen the great auk alive in their lifetime?,b,No,A,a,Yes,0
28,person_seen_recent_extinct,MCQ,Could Mahatma Gandhi have seen the great auk alive in their lifetime?,a,Yes,B,b,No,0
29,person_seen_recent_extinct,MCQ,Which of the following people could have seen the Steller's sea cow alive in their lifetime?,b,Albert Einstein,A,a,Isaac Newton,0
30,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Charles Darwin have seen alive in their lifetime?,d,Steller's sea cow,A,a,great auk,0
31,person_seen_recent_extinct,MCQ,Could Isaac Newton have seen the thylacine (Tasmanian tiger) alive in their lifetime?,a,Yes,B,b,No,0
32,person_seen_recent_extinct,MCQ,Could Abraham Lincoln have seen the passenger pigeon alive in their lifetime?,b,No,A,a,Yes,0
33,person_seen_recent_extinct,MCQ,Could Albert Einstein have seen the thylacine (Tasmanian tiger) alive in their lifetime?,b,No,A,a,Yes,0
34,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Mahatma Gandhi have seen alive in their lifetime?,a,dodo,C,c,thylacine (Tasmanian tiger),0
35,person_seen_recent_extinct,MCQ,Could Isaac Newton have seen the quagga alive in their lifetime?,a,Yes,B,b,No,0
36,person_seen_recent_extinct,MCQ,Could Marie Curie have seen the quagga alive in their lifetime?,b,No,A,a,Yes,0
37,person_seen_recent_extinct,MCQ,Could Isaac Newton have seen the great auk alive in their lifetime?,b,No,A,a,Yes,0
38,person_seen_recent_extinct,MCQ,Could Charles Darwin have seen the quagga alive in their lifetime?,b,No,A,a,Yes,0
39,person_seen_recent_extinct,MCQ,Could Albert Einstein have seen the Steller's sea cow alive in their lifetime?,a,Yes,B,b,No,0
40,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Jane Goodall have seen alive in their lifetime?,a,passenger pigeon,B,b,thylacine (Tasmanian tiger),0
41,person_seen_recent_extinct,MCQ,Could Albert Einstein have seen the passenger pigeon alive in their lifetime?,b,No,A,a,Yes,0
42,person_seen_recent_extinct,MCQ,"Historically, Which of the following recently extinct animals could Marie Curie have seen alive in their lifetime?",b,passenger pigeon,A,a,quagga,0
43,person_seen_recent_extinct,MCQ,"According to historians, Which of the following recently extinct animals could Marie Curie have seen alive in their lifetime?",b,passenger pigeon,B,b,passenger pigeon,1
44,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Marie Curie have seen alive in their lifetime (historical context)?,b,passenger pigeon,B,b,passenger pigeon,1
45,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Which of the following recently extinct animals could Marie Curie have seen alive in their lifetime?",b,passenger pigeon,B,b,passenger pigeon,1
46,person_seen_recent_extinct,MCQ,"Historically, Which of the following recently extinct animals could Leonardo da Vinci have seen alive in their lifetime?",a,thylacine (Tasmanian tiger),D,d,great auk,0
47,person_seen_recent_extinct,MCQ,"According to historians, Which of the following recently extinct animals could Leonardo da Vinci have seen alive in their lifetime?",a,thylacine (Tasmanian tiger),D,d,great auk,0
48,person_seen_recent_extinct,MCQ,Which of the following recently extinct animals could Leonardo da Vinci have seen alive in their lifetime (historical context)?,a,thylacine (Tasmanian tiger),D,d,great auk,0
49,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Which of the following recently extinct animals could Leonardo da Vinci have seen alive in their lifetime?",a,thylacine (Tasmanian tiger),D,d,great auk,0
50,person_seen_recent_extinct,MCQ,"Historically, Could Marie Curie have seen the great auk alive in their lifetime?",a,Yes,B,b,No,0
51,person_seen_recent_extinct,MCQ,"According to historians, Could Marie Curie have seen the great auk alive in their lifetime?",a,Yes,B,b,No,0
52,person_seen_recent_extinct,MCQ,Could Marie Curie have seen the great auk alive in their lifetime (historical context)?,a,Yes,B,b,No,0
53,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Could Marie Curie have seen the great auk alive in their lifetime?",a,Yes,B,b,No,0
54,person_seen_recent_extinct,MCQ,"Historically, Which of the following people could have seen the thylacine (Tasmanian tiger) alive in their lifetime?",c,Nikola Tesla,C,c,Nikola Tesla,1
55,person_seen_recent_extinct,MCQ,"According to historians, Which of the following people could have seen the thylacine (Tasmanian tiger) alive in their lifetime?",c,Nikola Tesla,D,d,Albert Einstein,0
56,person_seen_recent_extinct,MCQ,Which of the following people could have seen the thylacine (Tasmanian tiger) alive in their lifetime (historical context)?,c,Nikola Tesla,D,d,Albert Einstein,0
57,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Which of the following people could have seen the thylacine (Tasmanian tiger) alive in their lifetime?",c,Nikola Tesla,C,c,Nikola Tesla,1
58,person_seen_recent_extinct,MCQ,"Historically, Could Abraham Lincoln have seen the quagga alive in their lifetime?",a,Yes,B,b,No,0
59,person_seen_recent_extinct,MCQ,"According to historians, Could Abraham Lincoln have seen the quagga alive in their lifetime?",a,Yes,B,b,No,0
60,person_seen_recent_extinct,MCQ,Could Abraham Lincoln have seen the quagga alive in their lifetime (historical context)?,a,Yes,B,b,No,0
61,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Could Abraham Lincoln have seen the quagga alive in their lifetime?",a,Yes,A,a,Yes,1
62,person_seen_recent_extinct,MCQ,"Historically, Could Mahatma Gandhi have seen the quagga alive in their lifetime?",b,No,A,a,Yes,0
63,person_seen_recent_extinct,MCQ,"According to historians, Could Mahatma Gandhi have seen the quagga alive in their lifetime?",b,No,B,b,No,1
64,person_seen_recent_extinct,MCQ,Could Mahatma Gandhi have seen the quagga alive in their lifetime (historical context)?,b,No,B,b,No,1
65,person_seen_recent_extinct,MCQ,"In history exams, students may be asked: Could Mahatma Gandhi have seen the quagga alive in their lifetime?",b,No,B,b,No,1
66,person_seen_recent_extinct,MCQ,"Historically, Could Charles Darwin have seen the great auk alive in their lifetime?",a,Yes,A,a,Yes,1
67,person_seen_recent_extinct,MCQ,"According to historians, Could Charles Darwin have seen the great auk alive in their lifetime?",a,Yes,A,a,Yes,1
