question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Jamaica was established before Ivory Coast.,b,False,False,b,False,1
2,TF,Latvia was established before Micronesia.,b,False,True,a,True,0
3,TF,Jordan was established before India.,a,True,True,a,True,1
4,TF,Brazil was established before Nicaragua.,b,False,False,b,False,1
5,TF,Lebanon was established before Myanmar.,a,True,True,a,True,1
6,TF,Namibia was established before Azerbaijan.,a,True,True,a,True,1
7,TF,Fiji was established before Barbados.,b,False,False,b,False,1
8,TF,Malawi was established before Malta.,b,False,True,a,True,0
9,TF,New Zealand was established before Cuba.,b,False,False,b,False,1
10,TF,Burkina Faso was established before Central African Republic.,b,False,True,a,True,0
11,TF,Ivory Coast was established before Gabon.,b,False,True,a,True,0
12,TF,Georgia was established before Latvia.,b,False,True,a,True,0
13,TF,Guinea-Bissau was established before Angola.,a,True,True,a,True,1
14,TF,Equatorial Guinea was established before Botswana.,b,False,False,b,False,1
15,TF,Maldives was established before Democratic Republic of the Congo.,b,False,False,b,False,1
16,TF,Mauritania was established before Mali.,b,False,False,b,False,1
17,TF,Democratic Republic of the Congo was established before Kenya.,a,True,True,a,True,1
18,TF,Cameroon was established before Maldives.,a,True,True,a,True,1
19,TF,Lithuania was established before Czech Republic.,a,True,True,a,True,1
20,TF,Marshall Islands was established before Estonia.,a,True,False,b,False,0
21,TF,Malawi was established before Burundi.,b,False,False,b,False,1
22,TF,Democratic Republic of the Congo was established before Mauritania.,b,False,True,a,True,0
23,TF,Brunei was established before Marshall Islands.,a,True,True,a,True,1
24,TF,Maldives was established before Ivory Coast.,b,False,False,b,False,1
25,TF,Eritrea was established before Belarus.,b,False,False,b,False,1
26,TF,Cyprus was established before Chad.,b,False,False,b,False,1
27,TF,Morocco was established before Ghana.,a,True,True,a,True,1
28,TF,Botswana was established before Equatorial Guinea.,a,True,True,a,True,1
29,TF,Malawi was established before Nauru.,a,True,True,a,True,1
30,TF,Kiribati was established before Mozambique.,b,False,False,b,False,1
31,TF,Lebanon was established before Israel.,a,True,True,a,True,1
32,TF,Bosnia and Herzegovina was established before Croatia.,b,False,False,b,False,1
33,TF,Malawi was established before Cameroon.,b,False,False,b,False,1
34,TF,Malta was established before Nauru.,a,True,True,a,True,1
35,TF,Cape Verde was established before Angola.,b,False,True,a,True,0
36,TF,Gabon was established before Cyprus.,b,False,False,b,False,1
37,TF,Micronesia was established before Antigua and Barbuda.,b,False,False,b,False,1
38,TF,Malta was established before Mali.,b,False,False,b,False,1
39,TF,Croatia was established before Lithuania.,b,False,True,a,True,0
40,TF,Ghana was established before Democratic Republic of the Congo.,a,True,True,a,True,1
41,TF,Niger was established before Malta.,a,True,True,a,True,1
42,TF,Greece was established before Bolivia.,b,False,True,a,True,0
43,TF,El Salvador was established before Bolivia.,a,True,True,a,True,1
44,TF,Kuwait was established before Ghana.,b,False,False,b,False,1
45,TF,Chad was established before Ivory Coast.,b,False,False,b,False,1
46,TF,Malawi was established before Lesotho.,a,True,True,a,True,1
47,TF,Burundi was established before Chad.,b,False,False,b,False,1
48,TF,Ghana was established before Benin.,a,True,True,a,True,1
49,TF,Burundi was established before Gabon.,b,False,False,b,False,1
50,TF,Lebanon was established before Ethiopia.,b,False,False,b,False,1
51,TF,Ghana was established before Laos.,b,False,False,b,False,1
52,TF,Czech Republic was established before Namibia.,b,False,False,b,False,1
53,TF,Maldives was established before Kenya.,b,False,True,a,True,0
54,TF,Bhutan was established before New Zealand.,b,False,True,a,True,0
55,TF,Cameroon was established before Malaysia.,b,False,True,a,True,0
56,TF,Barbados was established before Kuwait.,b,False,True,a,True,0
57,TF,Botswana was established before Kenya.,b,False,False,b,False,1
58,TF,Nigeria was established before Gabon.,b,False,False,b,False,1
59,TF,Croatia was established before Kazakhstan.,b,False,True,a,True,0
60,TF,Grenada was established before Djibouti.,a,True,True,a,True,1
61,TF,Latvia was established before Azerbaijan.,b,False,False,b,False,1
62,TF,Lesotho was established before Botswana.,b,False,False,b,False,1
63,TF,Iceland was established before Myanmar.,a,True,True,a,True,1
64,TF,Kuwait was established before Gabon.,b,False,False,b,False,1
65,TF,Moldova was established before Estonia.,b,False,False,b,False,1
66,TF,Colombia was established before Luxembourg.,a,True,True,a,True,1
67,TF,Marshall Islands was established before North Macedonia.,a,True,True,a,True,1
68,TF,Guinea was established before Burkina Faso.,a,True,True,a,True,1
