question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,MCQ,Did Andy Warhol paint a portrait of Marilyn Monroe in 1907?,a,Yes,B,b,No,0
2,MCQ,Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937?,a,Yes,B,b,No,0
3,MCQ,Whose portrait did Leonardo da Vinci paint in 1503?,a,Dora Maar,B,b,Lisa Gherardini,0
4,MCQ,Who painted a portrait of Dr. Paul Gachet in 1890?,a,Pablo Picasso,B,b,Vincent van Gogh,0
5,MCQ,Who painted a portrait of Cecilia Gallerani in 1489?,d,Andy Warhol,C,c,Leonardo da Vinci,0
6,MCQ,Who painted a portrait of King Charles IV of Spain in 1800?,b,Leonardo da Vinci,A,a,Francisco Goya,0
7,MCQ,Whose portrait did Rembrandt van Rijn paint in 1633?,d,Marilyn Monroe,C,c,Saskia van Uylenburgh,0
8,MCQ,Did Diego Velázquez paint a portrait of Pope Innocent X in 1907?,a,Yes,B,b,No,0
9,MCQ,Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1503?,b,No,A,a,Yes,0
10,MCQ,Did Rembrandt van Rijn paint a portrait of Saskia van Uylenburgh in 1907?,a,Yes,B,b,No,0
11,MCQ,Did Leonardo da Vinci paint a portrait of Cecilia Gallerani in 1890?,a,Yes,B,b,No,0
12,MCQ,Did Gustav Klimt paint a portrait of Adele Bloch-Bauer in 1907?,b,No,A,a,Yes,0
13,MCQ,Whose portrait did Andy Warhol paint in 1962?,c,Cecilia Gallerani,D,d,Marilyn Monroe,0
14,MCQ,Who painted a portrait of Pope Innocent X in 1650?,d,John Singer Sargent,C,c,Diego Velázquez,0
15,MCQ,Did Gustav Klimt paint a portrait of Adele Bloch-Bauer in 1489?,a,Yes,B,b,No,0
16,MCQ,Did Francisco Goya paint a portrait of King Charles IV of Spain in 1800?,b,No,A,a,Yes,0
17,MCQ,Who painted a portrait of Virginie Amélie Avegno Gautreau in 1884?,d,Rembrandt van Rijn,C,c,John Singer Sargent,0
