question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,If the American Revolution in 1776 never occurred; the United States would have remained a British colony throughout the 19th century.,b,False,False,b,False,1
2,MCQ,If Germany had not invaded Poland in 1939; what is the most likely outcome?,b,World War II would still have started differently,B,b,World War II would still have started differently,1
3,TF,If the fall of the Roman Empire in 476 CE never occurred; Europe would not have experienced the Middle Ages.,b,False,False,b,False,1
4,MCQ,If the French Revolution of 1789 had not taken place; what would have been the most likely result?,a,The French monarchy would have survived longer,A,a,The French monarchy would have survived longer,1
5,TF,If the Industrial Revolution in Britain never happened; technological advancements globally would have been delayed significantly.,a,True,True,a,True,1
6,MCQ,If Columbus had not reached the Americas in 1492; which region would likely have dominated early Atlantic exploration?,b,Portugal,B,b,Portugal,1
7,TF,If Archduke Franz Ferdinand had not been assassinated in 1914; World War I would have been avoided entirely.,b,False,False,b,False,1
8,MCQ,If the U.S. had not entered World War II; what is the most likely outcome?,b,The war would have continued for many more years,B,b,The war would have continued for many more years,1
9,TF,If the printing press had not been invented; the Renaissance would have spread far more slowly.,a,True,True,a,True,1
10,MCQ,If the Berlin Wall had never fallen; what might have continued?,a,The Cold War division of Europe,A,a,The Cold War division of Europe,1
11,TF,If the Black Death had not struck Europe in the 14th century; population growth would have remained stable.,b,False,False,b,False,1
12,MCQ,If the United Nations had not been created in 1945; which area would be most affected?,a,Post-war peacekeeping efforts,A,a,Post-war peacekeeping efforts,1
13,TF,If the partition of India in 1947 had not occurred; South Asia would have avoided decades of geopolitical tension.,a,True,False,b,False,0
14,MCQ,If penicillin had never been discovered; what would have happened?,a,Mortality from bacterial infections would be far higher,A,a,Mortality from bacterial infections would be far higher,1
15,TF,If the Cold War had never occurred; the global arms race would have been far less intense.,a,True,True,a,True,1
16,MCQ,If the Great Fire of London never happened; what would London likely have retained?,a,Densely packed wooden medieval homes,A,a,Densely packed wooden medieval homes,1
17,TF,If the U.S. Civil Rights Movement of the 1960s had not occurred; racial segregation would have persisted far longer.,a,True,True,a,True,1
18,MCQ,If Columbus never discovered America; which civilization might have reached it next?,c,Portuguese explorers,B,b,Scandinavian seafarers,0
19,TF,If the atomic bomb had not been dropped on Japan in 1945; the war would have dragged on for months.,a,True,True,a,True,1
20,MCQ,If the Soviet Union had not collapsed in 1991; what is the most likely outcome?,a,A prolonged Cold War,A,a,A prolonged Cold War,1
21,TF,If the Renaissance had never happened; Europe's scientific progress would have been significantly delayed.,a,True,True,a,True,1
22,MCQ,If the Great Depression had not taken place; what might have changed?,a,The rise of fascism in Europe would have been slower,A,a,The rise of fascism in Europe would have been slower,1
23,TF,If the Meiji Restoration never took place; Japan would not have rapidly modernized in the 19th century.,a,True,True,a,True,1
