question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Debates about AI alignment today echo not only Cold War nuclear command fears but also earlier debates on whether steam engines could 'run away' from operators.,a,True,True,a,True,1
2,MCQ,Modern disputes over climate geoengineering most closely resemble historical controversies over:,a,19th-century cloud seeding experiments,A,a,19th-century cloud seeding experiments,1
3,TF,Concerns about digital monopolies today mirror fears about railroad conglomerates controlling prices in the late 19th century.,a,True,True,a,True,1
4,MCQ,Modern misinformation debates resemble which past information crisis the closest?,a,The spread of forged papal bulls in medieval Europe,A,a,The spread of forged papal bulls in medieval Europe,1
5,TF,Current debates about social media addiction echo earlier worries about radio addiction in the 1920s.,a,True,True,a,True,1
6,MCQ,Today’s debates about renewable-energy land use echo which earlier conflict?,a,The English Enclosure Movement,A,a,The English Enclosure Movement,1
7,TF,Concerns about deepfake political scandals parallel fears surrounding early photography manipulations in the 19th century.,a,True,True,a,True,1
8,MCQ,Debates about who 'owns' AI-generated work reflect historical struggles related to:,a,Guild protection of trade secrets,A,a,Guild protection of trade secrets,1
9,TF,Today’s controversies surrounding brain–computer interfaces mirror the anxieties provoked by early telegraph brainwave experiments.,a,True,True,a,True,1
10,MCQ,Modern debates about data brokers most closely resemble historical battles over:,a,19th-century census privacy disputes,A,a,19th-century census privacy disputes,1
11,TF,Arguments about modern universal basic income (UBI) echo ancient Roman debates about grain doles (annona).,a,True,True,a,True,1
12,MCQ,Today’s conflict over electric vehicle mineral sourcing is most similar to past conflicts involving:,a,19th-century rubber extraction,A,a,19th-century rubber extraction,1
13,TF,Debates about algorithmic bias parallel 19th-century controversies about biased 'scientific' measurement devices.,a,True,True,a,True,1
14,MCQ,Disputes over AI governance frameworks echo which earlier global institutional struggle?,a,The League of Nations' failure to regulate military escalation,A,a,The League of Nations' failure to regulate military escalation,1
15,TF,Today’s debates about digital ID systems echo past arguments about national passport standardization in the early 20th century.,a,True,True,a,True,1
16,MCQ,Fights over who controls AI training data resemble historical disputes involving:,a,Ownership of early printed manuscripts,A,a,Ownership of early printed manuscripts,1
17,TF,Modern quantum encryption fears echo historical panic around unbreakable ciphers during World War II.,a,True,True,a,True,1
18,MCQ,Debates about artificial food production (e.g.; lab-grown meat) most closely parallel disputes over:,a,Industrial-era margarine bans,A,a,Industrial-era margarine bans,1
19,TF,Concerns about AI replacing teachers echo anxieties about radios replacing teachers in the 1930s.,a,True,True,a,True,1
20,MCQ,Arguments over facial-recognition surveillance parallel which earlier form of population tracking?,a,19th-century anthropometric identification (Bertillon system),A,a,19th-century anthropometric identification (Bertillon system),1
21,TF,Today’s internet censorship debates mirror Cold War conflicts over radio jamming.,a,True,True,a,True,1
22,MCQ,Fears about AI weapon systems resemble historical controversies over:,a,Autonomous naval torpedoes in WWI,A,a,Autonomous naval torpedoes in WWI,1
23,TF,Debates about cryptocurrency volatility echo past controversies around early stock markets in the 1600s.,a,True,True,a,True,1
24,MCQ,Modern privacy disputes most resemble which older conflict?,a,The 1890 Brandeis–Warren push for 'the right to privacy',A,a,The 1890 Brandeis–Warren push for 'the right to privacy',1
25,TF,Discussions about autonomous cars echo debates about self-driving elevators in the early 20th century.,a,True,True,a,True,1
26,MCQ,Concerns over AI-driven financial crashes parallel:,a,Early automated trading panic in the 1987 Black Monday crash,A,a,Early automated trading panic in the 1987 Black Monday crash,1
27,TF,Today’s fights over global data flows echo disputes over international telegraph cable tariffs.,a,True,True,a,True,1
28,MCQ,Arguments about ethics of genetic surveillance most closely resemble:,a,Eugenics-based census debates in the early 20th century,A,a,Eugenics-based census debates in the early 20th century,1
29,TF,Modern climate migration fears mirror the global refugee displacements following the 1816 'Year Without a Summer.',a,True,False,b,False,0
30,MCQ,Debates about supply-chain transparency resemble historical struggles with:,a,Triangle Trade merchant logs,A,a,Triangle Trade merchant logs,1
31,TF,Controversies about VR-induced detachment reflect early fears about cinema causing moral decay.,a,True,True,a,True,1
32,MCQ,Arguments about geoengineering deployment echo which older debate?,a,19th-century volcano eruption theories affecting climate,A,a,19th-century volcano eruption theories affecting climate,1
33,TF,Concerns about AI plagiarism mirror anxieties about mass-produced 'forgeries' after the printing press was invented.,a,True,True,a,True,1
34,MCQ,Debates about large-language model copyright resemble historical battles around:,a,18th-century encyclopedias compiling copyrighted works,A,a,18th-century encyclopedias compiling copyrighted works,1
35,TF,Today’s panic over AI-generated political influence echoes 19th-century fears about telegraph-driven mass persuasion.,a,True,True,a,True,1
36,MCQ,Debates about water-scarcity AI prediction systems resemble:,a,Ancient Mesopotamian irrigation planning,A,a,Ancient Mesopotamian irrigation planning,1
