question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,artist_portrait,MCQ,Did Andy Warhol paint a portrait of Marilyn Monroe in 1907?,a,Yes,B,b,No,0
2,artist_portrait,MCQ,Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937?,a,Yes,B,b,No,0
3,artist_portrait,MCQ,Whose portrait did Leonardo da Vinci paint in 1503?,a,Dora Maar,B,b,Lisa Gherardini,0
4,artist_portrait,MCQ,Who painted a portrait of Dr. Paul Gachet in 1890?,a,Pablo Picasso,B,b,Vincent van Gogh,0
5,artist_portrait,MCQ,Who painted a portrait of Cecilia Gallerani in 1489?,d,Andy Warhol,C,c,Leonardo da Vinci,0
6,artist_portrait,MCQ,Who painted a portrait of King Charles IV of Spain in 1800?,b,Leonardo da Vinci,A,a,Francisco Goya,0
7,artist_portrait,MCQ,Whose portrait did Rembrandt van Rijn paint in 1633?,d,Marilyn Monroe,C,c,Saskia van Uylenburgh,0
8,artist_portrait,MCQ,Did Diego Velázquez paint a portrait of Pope Innocent X in 1907?,a,Yes,B,b,No,0
9,artist_portrait,MCQ,Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1503?,b,No,A,a,Yes,0
10,artist_portrait,MCQ,Did Rembrandt van Rijn paint a portrait of Saskia van Uylenburgh in 1907?,a,Yes,B,b,No,0
11,artist_portrait,MCQ,Did Leonardo da Vinci paint a portrait of Cecilia Gallerani in 1890?,a,Yes,B,b,No,0
12,artist_portrait,MCQ,Did Gustav Klimt paint a portrait of Adele Bloch-Bauer in 1907?,b,No,A,a,Yes,0
13,artist_portrait,MCQ,Whose portrait did Andy Warhol paint in 1962?,c,Cecilia Gallerani,D,d,Marilyn Monroe,0
14,artist_portrait,MCQ,Who painted a portrait of Pope Innocent X in 1650?,d,John Singer Sargent,B,b,Rembrandt van Rijn,0
15,artist_portrait,MCQ,Did Gustav Klimt paint a portrait of Adele Bloch-Bauer in 1489?,a,Yes,B,b,No,0
16,artist_portrait,MCQ,Did Francisco Goya paint a portrait of King Charles IV of Spain in 1800?,b,No,A,a,Yes,0
17,artist_portrait,MCQ,Who painted a portrait of Virginie Amélie Avegno Gautreau in 1884?,d,Rembrandt van Rijn,C,c,John Singer Sargent,0
18,artist_portrait,MCQ,Did Andy Warhol paint a portrait of Marilyn Monroe in 1962?,b,No,A,a,Yes,0
19,artist_portrait,MCQ,Did John Singer Sargent paint a portrait of Virginie Amélie Avegno Gautreau in 1650?,a,Yes,B,b,No,0
20,artist_portrait,MCQ,Did John Singer Sargent paint a portrait of Virginie Amélie Avegno Gautreau in 1884?,b,No,A,a,Yes,0
21,artist_portrait,MCQ,Did Francisco Goya paint a portrait of King Charles IV of Spain in 1633?,a,Yes,B,b,No,0
22,artist_portrait,MCQ,Whose portrait did Francisco Goya paint in 1800?,a,Lisa Gherardini,B,b,King Charles IV of Spain,0
23,artist_portrait,MCQ,Whose portrait did Pablo Picasso paint in 1937?,a,Saskia van Uylenburgh,B,b,Dora Maar,0
24,artist_portrait,MCQ,Whose portrait did Gustav Klimt paint in 1907?,a,Dora Maar,B,b,Adele Bloch-Bauer,0
25,artist_portrait,MCQ,Who painted a portrait of Dora Maar in 1937?,a,Diego Velázquez,B,b,Pablo Picasso,0
26,artist_portrait,MCQ,Whose portrait did Diego Velázquez paint in 1650?,d,Cecilia Gallerani,C,c,Pope Innocent X,0
27,artist_portrait,MCQ,Who painted a portrait of Adele Bloch-Bauer in 1907?,d,Vincent van Gogh,C,c,Gustav Klimt,0
28,artist_portrait,MCQ,Did Rembrandt van Rijn paint a portrait of Saskia van Uylenburgh in 1633?,b,No,A,a,Yes,0
29,artist_portrait,MCQ,Did Leonardo da Vinci paint a portrait of Cecilia Gallerani in 1489?,b,No,A,a,Yes,0
30,artist_portrait,MCQ,Whose portrait did John Singer Sargent paint in 1884?,d,Cecilia Gallerani,C,c,Virginie Amélie Avegno Gautreau,0
31,artist_portrait,MCQ,Who painted a portrait of Saskia van Uylenburgh in 1633?,c,Andy Warhol,D,d,Rembrandt van Rijn,0
32,artist_portrait,MCQ,Did Pablo Picasso paint a portrait of Dora Maar in 1907?,a,Yes,B,b,No,0
33,artist_portrait,MCQ,Did Pablo Picasso paint a portrait of Dora Maar in 1937?,b,No,A,a,Yes,0
34,artist_portrait,MCQ,Did Vincent van Gogh paint a portrait of Dr. Paul Gachet in 1907?,a,Yes,B,b,No,0
35,artist_portrait,MCQ,Did Vincent van Gogh paint a portrait of Dr. Paul Gachet in 1890?,b,No,A,a,Yes,0
36,artist_portrait,MCQ,Whose portrait did Vincent van Gogh paint in 1890?,c,Cecilia Gallerani,D,d,Dr. Paul Gachet,0
37,artist_portrait,MCQ,Who painted a portrait of Marilyn Monroe in 1962?,d,Gustav Klimt,C,c,Andy Warhol,0
38,artist_portrait,MCQ,Whose portrait did Leonardo da Vinci paint in 1489?,a,Pope Innocent X,B,b,Cecilia Gallerani,0
39,artist_portrait,MCQ,Who painted a portrait of Lisa Gherardini in 1503?,c,Francisco Goya,D,d,Leonardo da Vinci,0
40,artist_portrait,MCQ,Did Diego Velázquez paint a portrait of Pope Innocent X in 1650?,b,No,A,a,Yes,0
41,artist_portrait,MCQ,"Historically, Did Andy Warhol paint a portrait of Marilyn Monroe in 1907?",a,Yes,B,b,No,0
42,artist_portrait,MCQ,"According to historians, Did Andy Warhol paint a portrait of Marilyn Monroe in 1907?",a,Yes,B,b,No,0
43,artist_portrait,MCQ,Did Andy Warhol paint a portrait of Marilyn Monroe in 1907 (historical context)?,a,Yes,B,b,No,0
44,artist_portrait,MCQ,"In history exams, students may be asked: Did Andy Warhol paint a portrait of Marilyn Monroe in 1907?",a,Yes,B,b,No,0
45,artist_portrait,MCQ,"Historically, Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937?",a,Yes,B,b,No,0
46,artist_portrait,MCQ,"According to historians, Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937?",a,Yes,B,b,No,0
47,artist_portrait,MCQ,Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937 (historical context)?,a,Yes,B,b,No,0
48,artist_portrait,MCQ,"In history exams, students may be asked: Did Leonardo da Vinci paint a portrait of Lisa Gherardini in 1937?",a,Yes,B,b,No,0
49,artist_portrait,MCQ,"Historically, Whose portrait did Leonardo da Vinci paint in 1503?",a,Dora Maar,B,b,Lisa Gherardini,0
50,artist_portrait,MCQ,"According to historians, Whose portrait did Leonardo da Vinci paint in 1503?",a,Dora Maar,B,b,Lisa Gherardini,0
51,artist_portrait,MCQ,Whose portrait did Leonardo da Vinci paint in 1503 (historical context)?,a,Dora Maar,B,b,Lisa Gherardini,0
52,artist_portrait,MCQ,"In history exams, students may be asked: Whose portrait did Leonardo da Vinci paint in 1503?",a,Dora Maar,B,b,Lisa Gherardini,0
53,artist_portrait,MCQ,"Historically, Who painted a portrait of Dr. Paul Gachet in 1890?",a,Pablo Picasso,B,b,Vincent van Gogh,0
54,artist_portrait,MCQ,"According to historians, Who painted a portrait of Dr. Paul Gachet in 1890?",a,Pablo Picasso,B,b,Vincent van Gogh,0
55,artist_portrait,MCQ,Who painted a portrait of Dr. Paul Gachet in 1890 (historical context)?,a,Pablo Picasso,B,b,Vincent van Gogh,0
56,artist_portrait,MCQ,"In history exams, students may be asked: Who painted a portrait of Dr. Paul Gachet in 1890?",a,Pablo Picasso,B,b,Vincent van Gogh,0
57,artist_portrait,MCQ,"Historically, Who painted a portrait of Cecilia Gallerani in 1489?",d,Andy Warhol,C,c,Leonardo da Vinci,0
58,artist_portrait,MCQ,"According to historians, Who painted a portrait of Cecilia Gallerani in 1489?",d,Andy Warhol,C,c,Leonardo da Vinci,0
59,artist_portrait,MCQ,Who painted a portrait of Cecilia Gallerani in 1489 (historical context)?,d,Andy Warhol,C,c,Leonardo da Vinci,0
60,artist_portrait,MCQ,"In history exams, students may be asked: Who painted a portrait of Cecilia Gallerani in 1489?",d,Andy Warhol,C,c,Leonardo da Vinci,0
61,artist_portrait,MCQ,"Historically, Who painted a portrait of King Charles IV of Spain in 1800?",b,Leonardo da Vinci,A,a,Francisco Goya,0
62,artist_portrait,MCQ,"According to historians, Who painted a portrait of King Charles IV of Spain in 1800?",b,Leonardo da Vinci,A,a,Francisco Goya,0
